fromNode	zip
1	98101
1	98101
1	98101
1	98101
1	98101
1	98101
2	98101
2	98101
2	98101
2	98101
2	98101
2	98101
3	98101
3	98101
3	98101
3	98101
3	98101
4	98101
4	98101
4	98101
4	98101
4	98101
5	98101
5	98101
5	98101
5	98101
6	98101
6	98101
6	98101
6	98101
7	98101
7	98101
7	98101
8	98101
8	98101
8	98101
9	98101
9	98101
9	98101
10	98101
10	98101
10	98101
11	98101
11	98101
11	98101
12	98101
12	98101
12	98101
13	98101
13	98101
13	98101
14	98101
14	98101
14	98101
15	98101
15	98101
15	98101
16	98101
16	98101
16	98101
17	98101
17	98101
17	98101
18	98101
18	98101
18	98101
19	98101
19	98101
19	98101
20	98101
20	98101
20	98101
21	98101
21	98101
21	98101
22	98101
22	98101
22	98101
23	98101
23	98101
23	98101
24	98101
24	98101
24	98101
25	98101
25	98101
25	98101
26	98101
26	98101
27	98101
27	98101
28	98101
28	98101
29	98101
29	98101
30	98101
30	98101
31	98101
31	98101
32	98101
32	98101
33	98101
33	98101
34	98101
34	98101
35	98101
35	98101
36	98101
36	98101
37	98101
37	98101
38	98101
38	98101
39	98101
39	98101
40	98101
40	98101
41	98101
41	98101
42	98101
42	98101
43	98101
43	98101
44	98101
44	98101
45	98101
45	98101
46	98101
46	98101
47	98101
47	98101
48	98101
48	98101
49	98101
49	98101
50	98101
50	98101
51	98101
51	98101
52	98101
52	98101
53	98101
53	98101
54	98101
54	98101
55	98101
55	98101
56	98101
56	98101
57	98101
57	98101
58	98101
58	98101
59	98101
60	98101
61	98101
62	98101
63	98101
64	98101
65	98101
66	98101
67	98101
68	98101
69	98101
70	98101
71	98101
72	98101
73	98101
74	98101
75	98101
76	98101
77	98101
78	98101
79	98101
80	98101
81	98101
82	98101
83	98101
84	98101
85	98101
86	98101
87	98101
88	98101
89	98101
90	98101
91	98101
92	98101
93	98101
94	98101
95	98101
96	98101
97	98101
98	98101
99	98101
100	98101
101	98101
102	98101
103	98101
104	98101
105	98101
106	98101
107	98101
108	98101
109	98101
110	98101
111	98101
112	98101
113	98101
114	98101
115	98101
116	98101
117	98101
118	98101
119	98101
120	98101
121	98101
122	98101
123	98101
124	98101
125	98101
126	98101
127	98101
128	98101
129	98101
130	98101
131	98101
132	98101
133	98101
134	98101
135	98101
136	98101
137	98101
138	98101
139	98101
140	98101
141	98101
142	98101
143	98101
144	98101
145	98101
146	98101
147	98101
148	98101
149	98101
150	98101
151	98101
152	98101
153	98101
154	98101
155	98101
156	98101
157	98101
158	98101
159	98101
160	98101
161	98101
162	98101
163	98101
164	98101
165	98101
166	98101
167	98101
168	98101
169	98101
170	98101
171	98101
172	98101
173	98101
174	98101
175	98101
176	98101
177	98101
178	98101
179	98101
180	98101
181	98102
181	98102
181	98102
181	98102
181	98102
181	98102
181	98102
182	98102
182	98102
182	98102
182	98102
182	98102
182	98102
182	98102
183	98102
183	98102
183	98102
183	98102
183	98102
183	98102
184	98102
184	98102
184	98102
184	98102
184	98102
185	98102
185	98102
185	98102
185	98102
185	98102
186	98102
186	98102
186	98102
186	98102
186	98102
187	98102
187	98102
187	98102
187	98102
187	98102
188	98102
188	98102
188	98102
188	98102
188	98102
189	98102
189	98102
189	98102
189	98102
190	98102
190	98102
190	98102
190	98102
191	98102
191	98102
191	98102
191	98102
192	98102
192	98102
192	98102
192	98102
193	98102
193	98102
193	98102
193	98102
194	98102
194	98102
194	98102
194	98102
195	98102
195	98102
195	98102
196	98102
196	98102
196	98102
197	98102
197	98102
197	98102
198	98102
198	98102
198	98102
199	98102
199	98102
199	98102
200	98102
200	98102
200	98102
201	98102
201	98102
201	98102
202	98102
202	98102
202	98102
203	98102
203	98102
203	98102
204	98102
204	98102
204	98102
205	98102
205	98102
205	98102
206	98102
206	98102
206	98102
207	98102
207	98102
207	98102
208	98102
208	98102
208	98102
209	98102
209	98102
210	98102
210	98102
211	98102
211	98102
212	98102
212	98102
213	98102
213	98102
214	98102
214	98102
215	98102
215	98102
216	98102
216	98102
217	98102
217	98102
218	98102
218	98102
219	98102
219	98102
220	98102
220	98102
221	98102
221	98102
222	98102
