1	303.31	98101
2	3514.9	98101
3	480.3	98101
4	641.6	98101
5	696.05	98101
6	464.49	98101
7	144.15	98101
8	1097.27	98101
9	1237.65	98101
10	255.85	98101
11	723.44	98101
12	752.75	98101
13	479.7	98101
14	567.18	98101
15	518.25	98101
16	1013.18	98101
17	389.75	98101
18	1500.53	98101
19	3748.33	98101
20	1553.97	98101
21	376.38	98101
22	547.91	98101
23	582.9	98101
24	100.75	98101
25	325.25	98101
26	1562.12	98101
27	466.17	98101
28	459.87	98101
29	314.1	98101
30	643.8	98101
31	1572.4	98101
32	391.36	98101
33	778.67	98101
34	646.95	98101
35	197.25	98101
36	430.25	98101
37	281.9	98101
38	1118.2	98101
39	563.84	98101
40	830.72	98101
41	306.27	98101
42	569.39	98101
43	624.38	98101
44	395.98	98101
45	622.94	98101
46	195.2	98101
47	625.31	98101
48	1764.13	98101
49	1320.1	98101
50	646.06	98101
51	341.1	98101
52	597.61	98101
53	206.7	98101
54	901.23	98101
55	808.47	98101
56	773.32	98101
57	1709.85	98101
58	459.23	98101
59	978.82	98101
60	552.4	98101
61	637	98101
62	158.81	98101
63	562.75	98101
64	178.2	98101
65	895.7	98101
66	1029.1	98101
67	190.3	98101
68	1426.16	98101
69	495.41	98101
70	379.25	98101
71	306.32	98101
72	512.45	98101
73	389.45	98101
74	572.81	98101
75	317.8	98101
76	687.25	98101
77	75.52	98101
78	470.34	98101
79	255.34	98101
80	728.94	98101
81	988.6	98101
82	438.2	98101
83	727.42	98101
84	671.59	98101
85	657.03	98101
86	649.6	98101
87	582.89	98101
88	923.88	98101
89	876.82	98101
90	348.25	98101
91	351.58	98101
92	349.35	98101
93	163.4	98101
94	1079.36	98101
95	1011.04	98101
96	991.92	98101
97	506.15	98101
98	186	98101
99	275.8	98101
100	310.4	98101
101	435.51	98101
102	711.7	98101
103	1496.56	98101
104	611.31	98101
105	280.4	98101
106	563.13	98101
107	1896.6	98101
108	1058.89	98101
109	274.1	98101
110	561.26	98101
111	1281.95	98101
112	997.26	98101
113	754.67	98101
114	42.3	98101
115	173.25	98101
116	173.32	98101
117	768.6	98101
118	693.32	98101
119	360.78	98101
120	1109.65	98101
121	233.44	98101
122	768.51	98101
