5	916	98101	10
9	4898	98101	10
18	4922	98101	10
54	4980	98101	10
54	4981	98101	10
106	5018	98101	10
108	5020	98101	10
123	5033	98101	10
136	4440	98101	10
191	5103	98102	10
191	5104	98102	10
195	5113	98102	10
197	271	98102	10
199	5121	98102	10
209	5143	98102	10
240	5188	98102	10
271	197	98102	10
277	5214	98102	10
288	5220	98102	10
318	1730	98102	10
326	3413	98102	10
348	5252	98102	10
349	4426	98102	10
360	5260	98102	10
402	5090	98102	10
420	5292	98102	10
431	2678	98103	10
432	5296	98103	10
438	5348	98103	10
443	5357	98103	10
446	5368	98103	10
447	5370	98103	10
452	5383	98103	10
454	2352	98103	10
454	5389	98103	10
460	1159	98103	10
465	5415	98103	10
472	5427	98103	10
472	5428	98103	10
476	5432	98103	10
496	5456	98103	10
513	616	98103	10
520	5482	98103	10
520	5483	98103	10
526	5491	98103	10
526	1854	98103	10
584	3041	98103	10
592	5539	98103	10
616	513	98103	10
647	5577	98103	10
654	934	98103	10
691	5602	98103	10
714	5618	98103	10
749	5649	98103	10
755	5653	98103	10
761	5657	98103	10
765	5659	98103	10
767	2768	98103	10
796	5715	98104	10
796	5716	98104	10
800	1185	98104	10
800	5729	98104	10
806	5401	98104	10
809	5749	98104	10
820	5767	98104	10
825	875	98104	10
833	5784	98104	10
856	5803	98104	10
875	825	98104	10
885	5821	98104	10
896	5830	98104	10
897	5831	98104	10
906	5849	98105	10
912	5869	98105	10
915	5879	98105	10
916	5	98105	10
918	5884	98105	10
922	5894	98105	10
926	5901	98105	10
934	654	98105	10
954	5941	98105	10
965	5957	98105	10
1036	1098	98105	10
1046	6012	98105	10
1098	1036	98105	10
1159	460	98105	10
1161	6087	98105	10
1180	6099	98105	10
1185	800	98106	10
1185	5729	98106	10
1193	6143	98106	10
1195	1203	98106	10
1197	6152	98106	10
1203	1195	98106	10
1206	6165	98106	10
1211	6174	98106	10
1212	6175	98106	10
1215	6178	98106	10
1220	6186	98106	10
1220	6187	98106	10
1225	6172	98106	10
1274	6225	98106	10
1310	6260	98107	10
1313	6271	98107	10
1313	6274	98107	10
1314	2940	98107	10
1314	6277	98107	10
1314	6278	98107	10
1316	5145	98107	10
1333	6194	98107	10
1348	6337	98107	10
1352	6342	98107	10
1360	6355	98107	10
1362	3997	98107	10
1363	6358	98107	10
1425	3153	98107	10
1440	1533	98107	10
1478	6434	98107	10
1510	6468	98109	10
1515	6483	98109	10
1515	6485	98109	10
1519	6492	98109	10
1526	6510	98109	10
